Tahun;Bulan;Kebun;Afd;Luas;Hsl_krj;Umr_ppk
2025;JAN;SC Inti;SC Inti;393,6;0;1,9
2025;JAN;SC Plasma;SC Plasma;196,3;0;2,3
2025;FEB;SC Inti;SC Inti;393,6;0;2,9
2025;FEB;SC Plasma;SC Plasma;196,3;0;3,3
2025;MAR;SC Inti;SC Inti;393,6;0;3,9
2025;MAR;SC Plasma;SC Plasma;196,3;0;4,3
2025;APR;SC Inti;SC Inti;393,6;0;4,9
2025;APR;SC Plasma;SC Plasma;196,3;0;5,3
2025;MEI;SC Inti;SC Inti;393,6;318,07;1
2025;MEI;SC Plasma;SC Plasma;196,3;153,1;2
2025;JUN;SC Inti;SC Inti;393,6;75,53;0,8
2025;JUN;SC Plasma;SC Plasma;196,3;43,2;0,7
2025;JUL;SC Inti;SC Inti;393,6;312,01;0,2
2025;JUL;SC Plasma;SC Plasma;196,3;149,24;0,3
2025;AGT;SC Inti;SC Inti;393,6;81,59;0,8
2025;AGT;SC Plasma;SC Plasma;196,3;47,06;0,7
2025;SEP;SC Inti;SC Inti;393,6;0;1,8
2025;SEP;SC Plasma;SC Plasma;196,3;0;1,7
2025;OKT;SC Inti;SC Inti;393,6;235,5;0,8
2025;OKT;SC Plasma;SC Plasma;196,3;67;1,7
2025;NOV;SC Inti;SC Inti;393,6;158,1;0,7
2025;NOV;SC Plasma;SC Plasma;196,3;94,6;1
2025;DES;SC Inti;SC Inti;393,6;0;1,7
2025;DES;SC Plasma;SC Plasma;196,3;34,7;1,1
2026;JAN;SC Inti;SC Inti;393,6;0;2,7
2026;JAN;SC Plasma;SC Plasma;196,3;0;2,1
2026;FEB;SC Inti;SC Inti;393,6;298,1;0,6
2026;FEB;SC Plasma;SC Plasma;196,3;92,4;1,4
2026;MAR;SC Inti;SC Inti;393,6;95,5;0,8
2026;MAR;SC Plasma;SC Plasma;196,3;103,9;0,4
2026;APR;SC Inti;SC Inti;393,6;0;1,8
2026;APR;SC Plasma;SC Plasma;196,3;0;1,4
2026;MEI;SC Inti;SC Inti;393,6;105;1,9
2026;MEI;SC Plasma;SC Plasma;196,3;67;1,4
2026;JUN;SC Inti;SC Inti;393,6;62,5;2,3
2026;JUN;SC Plasma;SC Plasma;196,3;25,4;2,0
